part,geo_curved_area_frac,geo_cyl_area_frac,geo_plane_area_frac,geo_other_area_frac,geo_min_curv_radius_rel,geo_log_curv_radius_mean,geo_log_curv_radius_std,geo_n_faces,geo_n_edges,geo_face_area_cv,geo_aspect_max,geo_aspect_mid,geo_volume_frac,geo_area_over_v23,geo_min_face_size_rel
perforated_plate_s1,0.029824215416321007,0.029824215416321007,0.9701757845836787,0.0,0.022538042994267236,-1.6470837969717835,0.0,10.0,48.0,1.5993064207204504,25.238577052945296,8.577314883434806,0.9789708123551936,14.252225922968142,0.07285957179310837
perforated_plate_s2,0.034692178403309855,0.034692178403309855,0.9653078215966899,0.0,0.03057716422224401,-1.514602794258498,0.0,10.0,48.0,1.6266192326801208,27.279541417547023,10.439382979151123,0.9647333814409894,15.318516316285825,0.08107726586742016
perforated_plate_s3,0.041647469581775065,0.041647469581775065,0.9583525304182248,0.0,0.03048357256939268,-1.5159341365367704,0.0,10.0,48.0,1.5514988873178934,21.54487871820662,8.36662700904818,0.9653175724203282,13.6537908275154,0.09099027529750443
plate_notch_s0,0.02042998103697491,0.02042998103697491,0.9795700189630252,0.0,0.04597201880998961,-1.3375064242725903,0.0,10.0,48.0,1.5143639397116,13.751201839288804,6.402669173086638,0.982517738206456,10.987894431889444,0.09746902277048795
plate_notch_s1,0.032813914531992484,0.032813914531992484,0.9671860854680074,0.0,0.06344149918706228,-1.1976265627494773,2.220446049250313e-16,10.0,48.0,1.4286860919558093,11.8107361698225,5.3338280520960195,0.9660661161565951,10.20489481733315,0.1238289512348869
plate_notch_s2,0.022994814350256954,0.022994814350256954,0.977005185649743,0.0,0.05160218145477327,-1.2873319384164905,0.0,10.0,48.0,1.5081846056866186,13.322058909349755,6.436949610688243,0.9785326255381943,10.909017196768007,0.10455488184600596
plate_notch_s3,0.01755019471886017,0.01755019471886017,0.9824498052811398,0.0,0.04942501517629485,-1.3060531886611269,0.0,10.0,48.0,1.6045167593049812,16.4398549900338,8.56714228964982,0.9812095055560041,12.289728345419421,0.0914528497520319
sphere_box_s0,0.10047056629479185,0.0,0.8995294337052082,0.10047056629479185,0.14978079232494654,-0.8245438763704142,0.0,8.0,34.0,0.5107847459086902,2.248755707018537,1.0,0.8817178076053245,6.273156259047075,0.2654795421480396
sphere_box_s1,0.08631728846432156,0.0,0.9136827115356784,0.08631728846432156,0.14206878005623458,-0.8475013488069838,0.0,8.0,34.0,0.5054336011971181,2.0787245818856324,1.0,0.8740784144737659,6.236968182120693,0.25181035630412996
sphere_box_s2,0.08711384721806224,0.0,0.9128861527819379,0.08711384721806224,0.1399794014646963,-0.8539358678102831,0.0,8.0,34.0,0.52585467735545,2.2364444882457453,1.0,0.8819664265513065,6.291439013997581,0.24810702917355837
sphere_box_s3,0.07889593613449919,0.0,0.9211040638655008,0.07889593613449919,0.12521065748691357,-0.9023587039469014,0.0,8.0,34.0,0.5944561299079276,2.74435804600717,1.0,0.9032237995088216,6.497481213273198,0.22193011203709886
stepped_shaft_s0,0.935632867402526,0.935632867402526,0.06436713259747412,0.0,0.0349341243584418,-1.329667454283717,0.09776451349252085,5.0,12.0,1.1577170787833584,8.87083620075012,1.0,0.5543488757722975,8.438492643408981,0.06191912324713236
stepped_shaft_s1,0.9402412439020974,0.9402412439020974,0.059758756097902654,0.0,0.040286059615027625,-1.3309266638846156,0.06305870996301019,5.0,12.0,1.1032980948612325,9.174454259468906,1.0,0.5897162428487157,8.528830698581519,0.06336778684993906
stepped_shaft_s2,0.9327906442762444,0.9327906442762444,0.06720935572375565,0.0,0.037791470892404436,-1.3189341799355239,0.09135377768033537,5.0,12.0,1.103725779361019,8.541396794685985,1.0,0.5416871171091932,8.417151236954597,0.06698363811462596
stepped_shaft_s3,0.9354278285113381,0.9354278285113381,0.06457217148866211,0.0,0.04029464658097955,-1.3050769413057728,0.07675513432383926,5.0,12.0,1.116910656732386,8.560556319192072,1.0,0.5800250779318142,8.358045520798978,0.07142040150333401
tube_s0,0.9789892308862943,0.9789892308862943,0.0210107691137057,0.0,0.05834978750055914,-1.1573292667111224,0.06574849175666626,4.0,12.0,0.9808160756680605,6.14724252421985,1.0,0.35977911725775547,20.175048090722697,0.09509100154211607
tube_s1,0.985926061057537,0.985926061057537,0.014073938942462982,0.0,0.059773370914424036,-1.1731449491071835,0.0453310008602983,4.0,12.0,0.9827284215684977,6.631920278565513,1.0,0.26925322127349155,25.99615762001544,0.07652179627209486
tube_s2,0.9841273168827265,0.9841273168827265,0.0158726831172735,0.0,0.055134475169776855,-1.1969993879838001,0.05428775519022183,4.0,12.0,0.9838416644700504,6.905315375300282,1.0,0.31091939454054546,23.54002772709575,0.07910765947074985
tube_s3,0.9758510364062681,0.9758510364062681,0.02414896359373166,0.0,0.06938393960036857,-1.085113184594372,0.06350933422166101,4.0,12.0,0.9730176783373102,5.171806063034297,1.0,0.3506142182945384,19.5275045698253,0.11043690984435588
