part,geo_curved_area_frac,geo_cyl_area_frac,geo_plane_area_frac,geo_other_area_frac,geo_min_curv_radius_rel,geo_log_curv_radius_mean,geo_log_curv_radius_std,geo_n_faces,geo_n_edges,geo_face_area_cv,geo_aspect_max,geo_aspect_mid,geo_volume_frac,geo_area_over_v23,geo_min_face_size_rel,geo_n_inner_loops,geo_hole_spacing_min_rel,geo_hole_spacing_p10_rel,geo_feat_pair_dist_min_rel,geo_feat_pair_dist_p10_rel,geo_feat_pair_dist_mean_rel,geo_dihedral_p10,geo_dihedral_p50,geo_dihedral_p90,geo_singular_lambda_min
channel_s2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,48.0,0.7559503180052842,7.36445870436677,1.8252984301490556,0.3862693032140462,18.25847368627433,0.10972001822015298,0.0,1.0,1.0,1.0,1.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
channel_s3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,48.0,0.796216861560029,7.57258294111516,2.0387095278371357,0.43842306698553385,16.422984786201628,0.11958680623811727,0.0,1.0,1.0,1.0,1.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
ellipsoid_boss_s0,0.0791716925259895,0.0,0.9208283074740105,0.0791716925259895,1.0,0.0,0.0,8.0,34.0,0.5393143680780138,2.3473331135706945,1.0,0.8739323384663246,6.372943761837857,0.23280749988289384,0.0,1.0,1.0,1.0,1.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.5444837367824631
ellipsoid_boss_s1,0.05839918512799585,0.0,0.9416008148720042,0.05839918512799585,1.0,0.0,0.0,8.0,34.0,0.6192704862312873,2.7430384894583457,1.0,0.908712822030642,6.559992183233841,0.1922181137178846,0.0,1.0,1.0,1.0,1.0,1.0,1.570796326794883,1.5707963267948966,1.5707963267948966,0.5444837367824449
ellipsoid_boss_s2,0.05372141151892521,0.0,0.9462785884810748,0.05372141151892521,1.0,0.0,0.0,8.0,34.0,0.5951920143920596,2.4575872246695374,1.0,0.8993661311142026,6.467551754001292,0.19141224280663763,0.0,1.0,1.0,1.0,1.0,1.0,1.570796326794846,1.5707963267948966,1.5707963267948966,0.5444837367824442
ellipsoid_boss_s3,0.07124015174101607,0.0,0.928759848258984,0.07124015174101607,1.0,0.0,0.0,8.0,34.0,0.5419624436691962,2.293422558160213,1.0,0.870503079846061,6.377613919572464,0.22266595950846926,0.0,1.0,1.0,1.0,1.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.5444837367824584
gusset_bracket_s0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,92.0,0.8081293691991992,3.9185239726454792,2.5742821732598875,0.2559761895180102,11.568244527819285,0.06798849081364727,0.0,1.0,1.0,0.10429721221622092,0.10429721221622092,0.4270868146634451,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
gusset_bracket_s1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,92.0,0.7031055934463153,4.261983734792697,2.4999535021901154,0.34318680952823555,10.848884085372188,0.08310311644592808,0.0,1.0,1.0,0.09918090688058184,0.09918090688058184,0.43728376224738774,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
gusset_bracket_s2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,92.0,0.7764798470560245,4.915618170770003,3.013774267719563,0.2678942622765986,12.687981800588563,0.06176281578275648,0.0,1.0,1.0,0.08544020201328567,0.08544020201328567,0.437176315355262,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
gusset_bracket_s3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,92.0,0.8804143503456336,3.6113571473587105,2.5787167777864517,0.22852535525994075,12.229970447172391,0.06745005204371021,0.0,1.0,1.0,0.10991862706273137,0.10991862706273137,0.42005302883655693,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
